City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Kahului,US,2021-03-21 19:49:10,20.8947,-156.47,71.6,83,40,13.8
119,Iqaluit,CA,2021-03-21 19:51:51,63.7506,-68.5145,-7.6,71,75,2.55
120,Ribeira Grande,PT,2021-03-21 19:52:04,38.5167,-28.7,60.8,82,40,13.8
121,Moerai,PF,2021-03-21 19:52:05,-22.4333,-151.3333,78.6,68,3,5.77
122,Mehamn,NO,2021-03-21 19:52:05,71.0357,27.8492,28.4,64,75,17.27
123,Mar Del Plata,AR,2021-03-21 19:52:05,-38.0023,-57.5575,64.4,63,40,12.66
124,Bozhou,CN,2021-03-21 19:52:05,33.8772,115.7703,38.28,55,3,5.61
125,Melfort,CA,2021-03-21 19:52:06,52.8667,-104.6177,30.2,69,94,13.8
126,Lere,NG,2021-03-21 19:52:06,10.387,8.5726,81.75,23,43,3.33
127,Khandyga,RU,2021-03-21 19:52:06,62.6667,135.6,15.13,84,100,6.49
128,Naze,JP,2021-03-21 19:52:06,28.3667,129.4833,55.08,73,92,20.94
129,Cancun,MX,2021-03-21 19:50:16,21.1743,-86.8466,80.6,57,40,11.5
130,Saint Albans,GB,2021-03-21 19:52:07,51.75,-0.3333,46.99,81,90,1.14
131,Sobolevo,RU,2021-03-21 19:52:07,54.4299,31.8996,27.79,94,100,13.04
132,Polunochnoye,RU,2021-03-21 19:52:07,60.8697,60.4153,10.51,90,9,4.45
133,Lebu,CL,2021-03-21 19:52:07,-37.6167,-73.65,62.67,66,0,10.4
134,Tiksi,RU,2021-03-21 19:52:07,71.6872,128.8694,-16.15,98,100,11.34
135,Kristiinankaupunki,FI,2021-03-21 19:52:08,62.2743,21.376,28.51,67,0,14.74
136,Miranda,CO,2021-03-21 19:52:08,3.2499,-76.2281,81.32,59,100,1.79
137,Alappuzha,IN,2021-03-21 19:52:08,9.49,76.3264,80.26,79,85,1.7
138,Dzilam Gonzalez,MX,2021-03-21 19:52:08,21.2833,-88.9333,80.38,52,0,8.41
139,Castro,BR,2021-03-21 19:52:09,-24.7911,-50.0119,74.35,87,100,3.87
140,Ulaangom,MN,2021-03-21 19:52:09,49.9811,92.0667,11.28,71,100,2.59
141,Tasiilaq,GL,2021-03-21 19:52:09,65.6145,-37.6368,32.0,74,75,8.05
142,Lodhikheda,IN,2021-03-21 19:52:09,21.5833,78.8333,73.4,68,40,2.3
143,Lavrentiya,RU,2021-03-21 19:52:10,65.5833,-171.0,1.67,80,100,3.02
144,Santa Barbara,US,2021-03-21 19:47:16,34.7333,-120.0343,64.99,36,1,9.22
145,Kayan,MM,2021-03-21 19:52:10,16.9056,96.5631,78.8,83,6,5.75
146,Narsaq,GL,2021-03-21 19:52:10,60.9167,-46.05,26.6,63,75,16.11
147,Tomaszow Lubelski,PL,2021-03-21 19:52:10,50.4477,23.4162,32.0,92,100,11.14
148,Forio,IT,2021-03-21 19:52:11,40.7342,13.8646,48.99,58,20,11.99
149,Fallon,US,2021-03-21 19:52:11,39.4735,-118.7774,46.99,31,20,3.44
150,Upernavik,GL,2021-03-21 19:52:11,72.7868,-56.1549,-8.77,91,100,3.44
151,Poum,NC,2021-03-21 19:52:11,-20.2333,164.0167,77.86,76,90,12.12
152,Bowen,AU,2021-03-21 19:52:12,-20.0167,148.2333,75.2,94,90,4.61
153,Qaanaaq,GL,2021-03-21 19:52:12,77.484,-69.3632,-7.47,96,100,3.04
154,Vostok,RU,2021-03-21 19:52:12,46.4856,135.8833,20.66,97,100,3.33
155,Labytnangi,RU,2021-03-21 19:52:12,66.6572,66.4183,-7.62,86,100,3.13
156,Souillac,MU,2021-03-21 19:52:13,-20.5167,57.5167,78.8,89,75,9.22
157,Sioux Lookout,CA,2021-03-21 19:52:13,50.1001,-91.917,53.6,47,75,16.11
158,Yekaterinoslavka,RU,2021-03-21 19:52:13,50.3734,129.1139,15.87,82,0,2.84
159,Ganzhou,CN,2021-03-21 19:52:13,28.8184,115.4327,50.56,69,99,5.39
160,Kununurra,AU,2021-03-21 19:52:13,-15.7667,128.7333,77.0,89,75,3.44
161,Saint-Philippe,RE,2021-03-21 19:52:14,-21.3585,55.7679,77.0,94,75,11.5
162,Kropotkin,RU,2021-03-21 19:52:14,45.4375,40.5756,37.0,79,42,5.35
163,Port Alfred,ZA,2021-03-21 19:52:14,-33.5906,26.891,64.89,70,90,9.1
164,Kidal,ML,2021-03-21 19:52:14,18.4411,1.4078,85.44,10,55,13.51
165,Hualmay,PE,2021-03-21 19:52:15,-11.0964,-77.6139,77.07,68,52,8.79
166,Chara,RU,2021-03-21 19:52:15,56.9064,118.2631,-0.2,83,12,2.17
167,Codrington,AU,2021-03-21 19:52:15,-38.2667,141.9667,64.8,82,95,12.24
168,Japura,ID,2021-03-21 19:52:15,-0.3167,102.35,74.12,97,100,1.66
169,Shenxian,CN,2021-03-21 19:52:16,36.2411,115.6672,39.76,28,0,7.43
