City_ID,City,Lat,Lng,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp,Current Description
116,Vaini,-21.2,-175.2,94,20,8.05,TO,2021-03-27 18:15:59,78.8,few clouds
117,Okhotsk,59.3833,143.3,98,99,4.94,RU,2021-03-27 18:24:00,-4.16,overcast clouds
118,Los Llanos De Aridane,28.6585,-17.9182,56,75,6.91,ES,2021-03-27 18:24:00,69.8,broken clouds
119,Lazaro Cardenas,17.9583,-102.2,44,1,10.07,MX,2021-03-27 18:24:00,82.76,clear sky
120,Norman Wells,65.282,-126.8329,78,90,10.36,CA,2021-03-27 18:21:19,6.8,light snow
121,Clyde River,70.4692,-68.5914,71,75,1.16,CA,2021-03-27 18:21:13,-0.4,broken clouds
122,Novoselitskoye,44.7508,43.4369,70,100,13.42,RU,2021-03-27 18:24:01,42.01,overcast clouds
123,Naze,28.3667,129.4833,87,99,19.64,JP,2021-03-27 18:20:43,66.54,overcast clouds
124,Dikson,73.5069,80.5464,100,75,8.01,RU,2021-03-27 18:20:45,-19.07,broken clouds
125,Xining,36.6167,101.7667,30,68,1.07,CN,2021-03-27 18:17:08,43.03,broken clouds
126,Lorengau,-2.0226,147.2712,78,98,7.78,PG,2021-03-27 18:20:48,81.01,overcast clouds
127,Ancud,-41.8697,-73.8203,63,0,5.75,CL,2021-03-27 18:21:02,64.4,clear sky
128,Maunabo,18.0072,-65.8993,77,9,8.99,PR,2021-03-27 18:24:01,82.99,clear sky
129,Doboj,44.7347,18.0878,39,40,4.61,BA,2021-03-27 18:23:57,60.8,scattered clouds
130,Saint-Philippe,-21.3585,55.7679,94,0,3.44,RE,2021-03-27 18:17:20,77.0,moderate rain
131,Broken Hill,-31.95,141.4333,62,50,6.91,AU,2021-03-27 18:24:01,57.2,scattered clouds
132,Bastia,42.6667,9.3333,82,90,3.44,FR,2021-03-27 18:24:02,57.2,overcast clouds
133,Kisanga,-7.4362,37.7034,80,73,3.38,TZ,2021-03-27 18:24:02,72.45,broken clouds
134,Port Alfred,-33.5906,26.891,72,19,19.39,ZA,2021-03-27 18:20:44,67.24,light rain
135,Nikolskoye,59.7035,30.7861,65,0,4.47,RU,2021-03-27 18:20:44,42.8,clear sky
136,Lebu,-37.6167,-73.65,69,65,19.19,CL,2021-03-27 18:21:09,60.46,broken clouds
137,Saint-Joseph,-21.3667,55.6167,94,0,3.44,RE,2021-03-27 18:24:02,77.0,moderate rain
138,Juterbog,51.9833,13.0833,69,96,8.01,DE,2021-03-27 18:24:03,41.0,overcast clouds
139,Cidreira,-30.1811,-50.2056,76,98,6.46,BR,2021-03-27 18:20:56,77.65,light rain
140,Hami,42.8,93.45,42,100,6.29,CN,2021-03-27 18:19:25,55.67,light rain
141,Tuktoyaktuk,69.4541,-133.0374,76,90,3.44,CA,2021-03-27 18:20:53,-22.0,overcast clouds
142,Jiuquan,39.7432,98.5174,43,99,5.7,CN,2021-03-27 18:21:21,49.08,overcast clouds
143,Kilimatinde,-5.85,34.95,92,100,1.88,TZ,2021-03-27 18:24:03,63.88,overcast clouds
144,Sinnamary,5.3833,-52.95,79,66,10.38,GF,2021-03-27 18:17:46,80.8,broken clouds
145,Astana,51.1801,71.446,93,90,11.18,KZ,2021-03-27 18:24:03,32.0,rain and snow
